39	526
272.179443359	34.85644	135.47638
274.561218262	34.85641	135.47653
275.386932373	34.85638	135.47661
277.76071167	34.85633	135.47672
277.693023682	34.85625	135.4768
276.220336914	34.85616	135.47688
276.294219971	34.85584	135.47698
276.196716309	34.85579	135.47701
276.855895996	34.85574	135.47704
276.250671387	34.85572	135.47709
276.137878418	34.85571	135.47712
276.062103271	34.8557	135.47719
275.370025635	34.85572	135.47726
275.613342285	34.85573	135.47729
279.819671631	34.85596	135.47763
284.004241943	34.856	135.47775
287.648895264	34.85604	135.47797
287.747772217	34.85605	135.478
285.852813721	34.85609	135.47803
284.947998047	34.85618	135.47809
287.30581665	34.85626	135.47814
287.925720215	34.85633	135.47821
289.549804688	34.85649	135.47844
290.141906738	34.85658	135.47858
284.498016357	34.85672	135.47895
285.920928955	34.85674	135.47902
285.49710083	34.85678	135.47906
283.836853027	34.85684	135.4791
283.321228027	34.85691	135.47913
283.351806641	34.85696	135.47914
283.346618652	34.85705	135.47914
283.629821777	34.85723	135.47912
284.140136719	34.85732	135.47912
286.146514893	34.85743	135.47925
289.797088623	34.8576	135.47943
289.027038574	34.85766	135.47953
288.644226074	34.85781	135.47994
290.454559326	34.85797	135.48023
299.068054199	34.85814	135.48083
299.207214355	34.85815	135.48088
296.558013916	34.85815	135.48108
296.489227295	34.85801	135.48194
297.822998047	34.85799	135.48209
300.232513428	34.85799	135.48219
305.20098877	34.85802	135.48227
309.634979248	34.85808	135.48231
313.269165039	34.85818	135.48238
313.952880859	34.85827	135.48244
309.501708984	34.85838	135.48255
316.527313232	34.85867	135.48289
305.770782471	34.85881	135.4831
304.461212158	34.85908	135.48348
305.777191162	34.85911	135.48353
314.207672119	34.85924	135.484
308.932067871	34.85937	135.48446
308.474487305	34.85942	135.4848
308.117370605	34.85944	135.48485
314.499664307	34.85965	135.48522
312.41809082	34.8597	135.48532
312.957611084	34.85986	135.4859
312.915161133	34.8599	135.48602
313.584320068	34.85997	135.48611
313.881866455	34.86013	135.48621
59	982
313.881866455	34.86013	135.48621
316.404449463	34.8604	135.48638
316.978515625	34.86048	135.4864
318.184326172	34.86054	135.4864
320.432861328	34.86063	135.48638
320.353912354	34.86068	135.48637
319.862701416	34.86078	135.4863
319.979675293	34.8609	135.48622
321.496368408	34.86095	135.4862
322.57131958	34.86101	135.4862
322.391845703	34.86106	135.48622
322.976837158	34.86111	135.48625
323.968963623	34.86114	135.48629
327.355560303	34.86147	135.48671
329.609832764	34.86161	135.48687
330.787109375	34.86168	135.48694
330.331176758	34.86174	135.48697
330.200958252	34.8618	135.487
331.959838867	34.86188	135.48703
332.886230469	34.86214	135.48709
333.456390381	34.86225	135.48712
